acl 2.2.52-4
ttf-font-awesome 4.7.0-3
ttf-gelasio-ib 0.1-1
ttf-heuristica 1.0.2-3
ttf-impallari-cantora 1.001-1
ttf-liberation 2.00.1-7
ttf-merriweather 1:1.585-1
ttf-merriweather-sans 1.006-3
ttf-opensans 1.101-1
ttf-oswald 4.003-1
ttf-quintessential 1.001-3
ttf-signika 1.002-1
ttf-symbola 9.17-1
ttf-ubuntu-font-family 0.83-3
tzdata 2017b-1
uchardet 0.0.6-1
udisks2 2.7.3-1
unixodbc 2.3.4-2
unzip 6.0-12
urlview 0.9-12
usbutils 008-1
util-linux 2.30.2-1
v4l-utils 1.12.5-1
vamp-plugin-sdk 2.6-1
vdpauinfo 1.0-2
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim-plug 0.9.1-1
vim-runtime 8.0.1176-1
volume_key 0.3.9-3
vpnfailsafe-git r36.4b87fe9-1
vulkan-icd-loader 1.0.61.1-1
vulkan-intel 17.2.2-1
w3m 0.5.3.git20170102-2
wayland 1.14.0-1
wayland-protocols 1.11-1
webkit2gtk 2.18.0-1
webrtc-audio-processing 0.3-2
wget 1.19.1-2
which 2.21-2
wildmidi 0.4.1-1
wireless_tools 30.pre9-1
wlc-git 0.0.10.r11.ge3abf0b-1
wmctrl 1.07-4
wpa_actiond 1.4-2
wpa_supplicant 1:2.6-8
x265 2.5-1
xapian-core 1:1.4.4-1
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xclip 0.13-1
xdg-user-dirs 0.16-1
xdg-utils 1.1.2-1
xdotool 3.20160805.1-1
xextproto 7.3.0-1
xf86-input-libinput 0.26.0-1
xf86-video-intel 1:2.99.917+794+ga384b462-1
xf86dgaproto 2.1-3
xf86driproto 2.1.1-3
xf86vidmodeproto 2.3.1-3
xfce-polkit 0.2-2
xfconf 4.12.1-4
xfsprogs 4.12.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.22-1
xmlsec 1.2.25-1
xorg-bdftopcf 1.0.5-1
xorg-docs 1.7.1-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-100dpi 1.0.3-3
xorg-fonts-75dpi 1.0.3-3
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-5
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.2-1
xorg-server 1.19.5-1
xorg-server-common 1.19.5-1
xorg-server-devel 1.19.5-1
xorg-server-xdmx 1.19.5-1
xorg-server-xephyr 1.19.5-1
xorg-server-xnest 1.19.5-1
xorg-server-xvfb 1.19.5-1
xorg-server-xwayland 1.19.5-1
xorg-sessreg 1.1.1-1
xorg-setxkbmap 1.3.1-1
xorg-smproxy 1.0.6-1
